Element Name,Type,Base Damage,Cooldown (ms),Fire Rate Multiplier,Projectile Speed,AOE Radius,Piercing,Homing,Special Effects,Fusion Recipe,Acquisition Method
Fire,Primary,2.0,3150,1.2,380,0,No,No,"Burn (3000ms, mag 3), DPS bonus per count",N/A,Level-Up Reward
Water,Primary,1.5,1800,1.0,350,0,No,No,"Slow (0.5x, 2000ms), Wet (3000ms)",N/A,Level-Up Reward
Earth,Primary,3.0,3000,0.8,350,0,No,No,"Knockback (1600), Shatter vs frozen (2.5x)",N/A,Level-Up Reward
Air,Primary,1.5,1200,1.5,400,150,No,No,"Knockback (800), AOE explosion",N/A,Level-Up Reward
Lightning,Primary,2.0,1500,1.3,400,0,No,No,"Chain (2 bounces), Shock (1000ms)",N/A,Level-Up Reward
Arcane,Primary,3.0,2400,1.0,300,0,No,Yes,"Homing (350px/s), Boomerang (1000ms return)",N/A,Level-Up Reward
Ice,Secondary,2.5,2500,0.9,350,0,No,No,"Freeze (2000ms), Slow (0.7x, 3000ms)",Water + Ice,Fusion
Rock,Secondary,2.0,2250,0.7,350,0,No,No,"Crit (30%, 2.0x), Stun (500ms)",Earth + Air,Fusion
Holy,Secondary,3.0,3000,1.1,350,0,No,No,"Undead bonus (2.0x), Bless (5000ms)",Fire + Holy,Fusion
Poison,Secondary,1.0,2000,1.0,300,0,Yes,No,"DoT (5000ms, 3 dmg per tick)",Water + Poison,Fusion
Nature,Secondary,Variable,1000,1.0,Variable,0,No,No,"Entangle vines",Earth + Water,Fusion
Smoke,Secondary,Variable,1200,1.2,Variable,0,No,No,"Blind enemies",Fire + Air,Fusion
Chaos,Secondary,Variable,1400,1.4,Variable,0,No,No,"Random elemental effects",Fire + Lightning,Fusion
Steam,Tertiary,Variable,1100,1.1,Variable,0,No,No,"Area denial cloud",Fire + Water,Fusion
Lava,Tertiary,Variable,600,0.6,Variable,0,No,No,"Extreme DoT",Fire + Earth,Fusion
Storm,Tertiary,Variable,1200,1.2,Variable,0,No,No,"Tornado projectiles",Water + Air,Fusion
Crystal,Tertiary,2.5,2000,0.8,400,0,Yes,No,"8-needle spread",Water + Ice,Fusion
Shadow,Tertiary,Variable,1000,1.0,Variable,0,No,No,"Phase through enemies",Dark + Void,Fusion
Radiant,Tertiary,Variable,1100,1.1,Variable,0,No,No,"Explosive light bursts",Nature + Light,Fusion
Void,Tertiary,Variable,500,0.5,Variable,0,No,No,"Pull enemies (500 force)",Light + Dark,Fusion
Time,Special,0,8000,0.8,Variable,500,No,No,"Extreme slow (0.5x, 5000ms)",Order + Chaos,Fusion
Cosmic,Tertiary,Variable,900,0.9,Variable,0,No,No,"Meteors from above",Storm + Chaos,Fusion
Music,Tertiary,Variable,1500,1.5,Variable,0,No,No,"Confuse enemies",Time + Cosmic,Fusion
Meteor,Advanced,4.0,1500,1.2,300,200,No,Yes,"Homing (350px/s), Burn (2000ms, mag 4)",Gravity + Fire,Fusion
Thunder,Advanced,3.5,2000,1.0,450,100,No,No,"Chain (3 bounces), Shock (1500ms)",Air + Lightning,Fusion
Blast,Advanced,3.5,2000,1.0,350,250,No,No,"Explosive, Burn (1500ms, mag 2), Knockback",Fire + Air,Fusion
Mud,Advanced,2.0,3000,0.6,300,150,No,No,"Extreme slow (0.2x, 5000ms)",Water + Earth,Fusion
Venom,Advanced,2.0,2000,1.0,350,0,Yes,No,"Enhanced poison (6000ms, 4 dmg)",Poison + Water,Fusion
Death,Special,999,30000,N/A,N/A,300,No,No,"Instant kill sub-20% HP",N/A,Special
Gravity,Special,0,6000,1.0,N/A,400,No,No,"30% max HP damage, Pull enemies",Earth + Arcane,Fusion
Light,Utility,Variable,1100,1.1,Variable,0,No,No,"Undead damage bonus",N/A,Special
Dark,Utility,Variable,900,0.9,Variable,0,No,No,"Life drain effect",N/A,Special
Order,Utility,Variable,700,0.7,Variable,0,No,No,"Dispel enemy buffs",Earth + Metal,Fusion
Knight,Passive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Halve cooldown (0.5x)",N/A,Special Drop
Queen,Passive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Multi-directional cast",N/A,Special Drop
King,Passive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Damage boost modifier",N/A,Special Drop
Pawn,Passive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Double-shot modifier",N/A,Special Drop
Mind Orb,Special,0,N/A,N/A,N/A,N/A,N/A,N/A,"Expand socket count",N/A,Legendary Combo Drop
